PDB_CHAIN_ID,SP_PRIMARY,GENE,coverage
10GS.A,P09211,GSTP1,0.9904761904761905
10GS.B,P09211,GSTP1,0.9904761904761905
11GS.A,P09211,GSTP1,0.9904761904761905
11GS.B,P09211,GSTP1,0.9904761904761905
121P.A,P01112,HRAS,0.8783068783068783
12CA.A,P00918,CA2,0.9807692307692307
12GS.A,P09211,GSTP1,0.9904761904761905
12GS.B,P09211,GSTP1,0.9904761904761905
133L.A,P61626,LYZ,0.8783783783783784
134L.A,P61626,LYZ,0.8783783783783784
13GS.A,P09211,GSTP1,1.0
13GS.B,P09211,GSTP1,0.9904761904761905
14GS.A,P09211,GSTP1,0.9238095238095239
14GS.B,P09211,GSTP1,0.9238095238095239
16GS.A,P09211,GSTP1,0.9904761904761905
16GS.B,P09211,GSTP1,0.9904761904761905
17GS.A,P09211,GSTP1,1.0
17GS.B,P09211,GSTP1,0.9904761904761905
18GS.A,P09211,GSTP1,0.9904761904761905
18GS.B,P09211,GSTP1,0.9904761904761905
19GS.A,P09211,GSTP1,0.9904761904761905
19GS.B,P09211,GSTP1,0.9904761904761905
1A00.A,P69905,HBA1; HBA2,0.9929577464788732
1A00.B,P68871,HBB,0.9931972789115646
1A00.C,P69905,HBA1; HBA2,0.9929577464788732
1A00.D,P68871,HBB,0.9931972789115646
1A01.A,P69905,HBA1; HBA2,0.9929577464788732
1A01.B,P68871,HBB,0.9931972789115646
1A01.C,P69905,HBA1; HBA2,0.9929577464788732
1A01.D,P68871,HBB,0.9931972789115646
1A02.F,P01100,FOS,0.1394736842105263
1A02.J,P05412,JUN,0.15709969788519637
1A02.N,Q13469,NFATC2,0.3027027027027027
1A07.A,P12931,SRC,0.1958955223880597
1A07.B,P12931,SRC,0.19402985074626866
1A08.A,P12931,SRC,0.1958955223880597
1A08.B,P12931,SRC,0.19402985074626866
1A09.A,P12931,SRC,0.19776119402985073
1A09.B,P12931,SRC,0.19029850746268656
1A0L.A,P20231,TPSB2,0.8872727272727273
1A0L.B,P20231,TPSB2,0.8872727272727273
1A0L.C,P20231,TPSB2,0.8872727272727273
1A0L.D,P20231,TPSB2,0.8872727272727273
1A0N.A,P27986,PIK3R1,0.019337016574585635
1A0N.B,P06241,FYN,0.10800744878957169
1A0U.A,P69905,HBA1; HBA2,0.9929577464788732
1A0U.B,P68871,HBB,0.9931972789115646
1A0U.C,P69905,HBA1; HBA2,0.9929577464788732
1A0U.D,P68871,HBB,0.9931972789115646
1A0Z.A,P69905,HBA1; HBA2,0.9929577464788732
1A0Z.B,P68871,HBB,0.9931972789115646
1A0Z.C,P69905,HBA1; HBA2,0.9929577464788732
1A0Z.D,P68871,HBB,0.9931972789115646
1A12.A,P18754,RCC1,0.9524940617577197
1A12.B,P18754,RCC1,0.9524940617577197
1A12.C,P18754,RCC1,0.9524940617577197
1A15.A,P48061,CXCL12,0.7204301075268817
1A15.B,P48061,CXCL12,0.6129032258064516
1A17.A,P53041,PPP5C,0.3186372745490982
1A1A.A,P12931,SRC,0.19776119402985073
1A1A.B,P12931,SRC,0.19029850746268656
1A1B.A,P12931,SRC,0.1958955223880597
1A1B.B,P12931,SRC,0.19402985074626866
1A1C.A,P12931,SRC,0.1958955223880597
1A1C.B,P12931,SRC,0.19402985074626866
1A1E.A,P12931,SRC,0.19402985074626866
1A1E.B,P12931,SRC,0.19402985074626866
1A1M.A,P30491,HLA-B,0.7624309392265194
1A1M.B,P61769,B2M,0.8319327731092437
1A1N.A,P30685,HLA-B,0.7624309392265194
1A1N.B,P61769,B2M,0.8319327731092437
1A1O.A,P30491,HLA-B,0.7624309392265194
1A1O.B,P61769,B2M,0.8319327731092437
1A1U.A,P04637,TP53,0.0737913486005089
1A1U.C,P04637,TP53,0.0737913486005089
1A1W.A,Q13158,FADD,0.39903846153846156
1A1X.A,P56278,MTCP1,0.9906542056074766
1A1Z.A,Q13158,FADD,0.39903846153846156
1A22.A,P01241,GH1,0.8294930875576036
1A22.B,P10912,GHR,0.30094043887147337
1A27.A,P14061,HSD17B1,0.8689024390243902
1A28.A,P06401,PGR,0.2690246516613076
1A28.B,P06401,PGR,0.26688102893890675
1A2B.A,P61586,RHOA,0.9222797927461139
1A2C.H,P00734,F2,0.40514469453376206
1A2C.L,P00734,F2,0.05787781350482315
1A31.A,P11387,TOP1,0.5986928104575163
1A35.A,P11387,TOP1,0.6196078431372549
1A36.A,P11387,TOP1,0.7111111111111111
1A3B.H,P00734,F2,0.4035369774919614
1A3B.L,P00734,F2,0.04340836012861737
1A3E.H,P00734,F2,0.4035369774919614
1A3E.L,P00734,F2,0.04340836012861737
1A3K.A,P17931,LGALS3,0.548
1A3N.A,P69905,HBA1; HBA2,0.9929577464788732
1A3N.B,P68871,HBB,0.9863945578231292
1A3N.C,P69905,HBA1; HBA2,0.9929577464788732
1A3N.D,P68871,HBB,0.9863945578231292
1A3O.A,P69905,HBA1; HBA2,0.9929577464788732
1A3O.B,P68871,HBB,0.9863945578231292
1A3O.C,P69905,HBA1; HBA2,0.9929577464788732
1A3O.D,P68871,HBB,0.9863945578231292
1A3Q.A,Q00653,NFKB2,0.31666666666666665
1A3Q.B,Q00653,NFKB2,0.31666666666666665
1A3S.A,P63279,UBE2I,1.0
1A42.A,P00918,CA2,0.9846153846153847
1A46.H,P00734,F2,0.40192926045016075
1A46.L,P00734,F2,0.04180064308681672
1A4I.A,P11586,MTHFD1,0.3048128342245989
1A4I.B,P11586,MTHFD1,0.3155080213903743
1A4J.A,P01834,IGKC,0.9813084112149533
1A4J.L,P01834,IGKC,0.9813084112149533
1A4K.A,P01834,IGKC,0.9719626168224299
1A4K.L,P01834,IGKC,0.9813084112149533
1A4P.A,P60903,S100A10,0.9484536082474226
1A4P.B,P60903,S100A10,0.9381443298969072
1A4R.A,P60953,CDC42,0.9947643979057592
1A4R.B,P60953,CDC42,0.9947643979057592
1A4V.A,P00709,LALBA,0.8661971830985915
1A4W.H,P00734,F2,0.3987138263665595
1A4W.L,P00734,F2,0.04180064308681672
1A4Y.A,P13489,RNH1,0.9978308026030369
1A4Y.B,P03950,ANG,0.8367346938775511
1A4Y.D,P13489,RNH1,0.9978308026030369
1A4Y.E,P03950,ANG,0.8367346938775511
1A52.A,P03372,ESR1,0.4016806722689076
1A52.B,P03372,ESR1,0.40336134453781514
1A5E.A,P42771,CDKN2A,1.0
1A5G.H,P00734,F2,0.40192926045016075
1A5G.L,P00734,F2,0.04340836012861737
1A5H.A,P00750,PLAT,0.4483985765124555
1A5H.B,P00750,PLAT,0.4483985765124555
1A5H.C,P00750,PLAT,0.012455516014234875
1A5H.D,P00750,PLAT,0.012455516014234875
1A5R.A,P63165,SUMO1,1.0
1A5Y.A,P18031,PTPN1,0.6528735632183909
1A61.H,P00734,F2,0.40192926045016075
1A61.L,P00734,F2,0.04340836012861737
1A66.A,O95644,NFATC1,0.18875927889713678
1A6A.A,P01903,HLA-DRA,0.6929133858267716
1A6A.B,P01912,HLA-DRB1,0.7030075187969925
1A6A.C,P04233,CD74,0.05067567567567568
1A6Q.A,P35813,PPM1A,0.9502617801047121
1A6Y.A,P20393,NR1D1,0.1270358306188925
1A6Y.B,P20393,NR1D1,0.13680781758957655
1A6Z.A,Q30201,HFE,0.7816091954022989
1A6Z.B,P61769,B2M,0.8319327731092437
1A6Z.C,Q30201,HFE,0.7816091954022989
1A6Z.D,P61769,B2M,0.8319327731092437
1A7A.A,P23526,AHCY,0.9976851851851852
1A7A.B,P23526,AHCY,0.9953703703703703
1A7C.A,P05121,SERPINE1,0.9054726368159204
1A7F.A,P01308,INS,0.19090909090909092
1A7F.B,P01308,INS,0.2636363636363636
1A7S.A,P20160,AZU1,0.8804780876494024
1A7X.A,P62942,FKBP1A,0.9907407407407407
1A7X.B,P62942,FKBP1A,0.9907407407407407
1A81.A,P43405,SYK,0.4
1A81.B,P07766,CD3E,0.08695652173913043
1A81.C,P43405,SYK,0.4
1A81.D,P07766,CD3E,0.08695652173913043
1A81.E,P43405,SYK,0.3464566929133859
1A81.F,P07766,CD3E,0.08695652173913043
1A81.G,P43405,SYK,0.3464566929133859
1A81.H,P07766,CD3E,0.08695652173913043
1A81.I,P43405,SYK,0.4
1A81.J,P07766,CD3E,0.08695652173913043
1A81.K,P43405,SYK,0.3464566929133859
1A81.L,P07766,CD3E,0.08695652173913043
1A85.A,P22894,MMP8,0.33832976445396146
1A86.A,P22894,MMP8,0.33832976445396146
1A8E.A,P02787,TF,0.4713467048710602
1A8F.A,P02787,TF,0.4713467048710602
1A8J.H,P01709,IGLV2-8,0.8389830508474576
1A8J.L,P01709,IGLV2-8,0.8389830508474576
